City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (in),Snow (in)
139,Iskateley,RU,2022-02-05 22:05:58,67.6803,53.1512,-0.13,95,96,11.74,overcast clouds,0.0,0.0
140,Roald,NO,2022-02-05 22:05:58,62.5833,6.1333,37.9,87,75,24.16,light rain,0.15,0.0
141,Saint Anthony,US,2022-02-05 22:03:45,45.0205,-93.218,24.89,62,0,5.99,clear sky,0.0,0.0
142,Ormond Beach,US,2022-02-05 22:05:58,29.2858,-81.0559,56.07,86,100,10.36,mist,0.0,0.0
143,Nanortalik,GL,2022-02-05 22:02:17,60.1432,-45.2371,9.68,59,75,14.05,broken clouds,0.0,0.0
144,Sinazongwe,ZM,2022-02-05 22:05:59,-17.2614,27.4618,71.94,91,100,6.71,light rain,0.31,0.0
145,Kaeo,NZ,2022-02-05 22:06:00,-35.1,173.7833,76.32,96,87,7.31,overcast clouds,0.0,0.0
146,Avarua,CK,2022-02-05 22:02:11,-21.2078,-159.775,78.85,89,75,18.41,light rain,0.0,0.0
147,Vao,NC,2022-02-05 22:03:31,-22.6667,167.4833,80.08,86,34,11.99,scattered clouds,0.0,0.0
148,Ayan,RU,2022-02-05 22:06:00,56.45,138.1667,-9.42,77,21,13.35,few clouds,0.0,0.0
149,Rocha,UY,2022-02-05 21:57:30,-34.4833,-54.3333,67.62,78,33,12.12,scattered clouds,0.0,0.0
150,Kokopo,PG,2022-02-05 22:06:01,-4.352,152.2633,80.29,71,88,3.38,overcast clouds,0.0,0.0
151,Kavaratti,IN,2022-02-05 22:03:57,10.5669,72.642,78.08,63,15,8.9,few clouds,0.0,0.0
152,Asau,RO,2022-02-05 22:03:18,46.4333,26.4,33.4,96,88,3.42,overcast clouds,0.0,0.0
153,Todos Santos,MX,2022-02-05 22:06:01,23.45,-110.2167,75.0,50,7,4.07,clear sky,0.0,0.0
154,Kalanguy,RU,2022-02-05 22:06:02,51.0167,116.5167,-11.97,99,84,3.74,broken clouds,0.0,0.0
155,Thompson,CA,2022-02-05 22:02:04,55.7435,-97.8558,-7.47,86,100,4.74,overcast clouds,0.0,0.0
156,Hue,VN,2022-02-05 22:06:02,16.4667,107.6,62.71,94,75,5.75,broken clouds,0.0,0.0
157,Ascension,US,2022-02-05 22:06:03,30.2169,-90.9001,54.1,38,0,8.05,clear sky,0.0,0.0
158,Lazaro Cardenas,MX,2022-02-05 21:59:14,17.9583,-102.2,81.21,58,0,9.33,clear sky,0.0,0.0
159,Dharchula,IN,2022-02-05 22:06:03,29.85,80.5333,41.16,43,0,7.63,clear sky,0.0,0.0
160,Port Keats,AU,2022-02-05 22:06:04,-14.25,129.55,77.61,87,97,5.75,overcast clouds,0.0,0.0
161,Sidney,AU,2022-02-05 22:05:04,-33.8679,151.2073,73.35,60,20,7.0,few clouds,0.0,0.0
162,Tucuma,BR,2022-02-05 22:06:04,-0.1833,-50.05,76.37,92,92,7.54,overcast clouds,0.0,0.0
163,San Patricio,US,2022-02-05 22:01:49,28.017,-97.5169,56.17,28,0,4.85,clear sky,0.0,0.0
164,Merauke,ID,2022-02-05 22:06:05,-8.4667,140.3333,78.53,91,100,9.91,overcast clouds,0.0,0.0
165,Beringovskiy,RU,2022-02-05 22:03:42,63.05,179.3167,-10.55,93,54,13.78,broken clouds,0.0,0.0
166,Saint-Philippe,RE,2022-02-05 22:03:03,-21.3585,55.7679,80.19,84,100,19.01,light rain,0.2,0.0
167,Tiksi,RU,2022-02-05 22:04:16,71.6872,128.8694,-22.47,98,91,7.61,overcast clouds,0.0,0.0
168,Fort-Shevchenko,KZ,2022-02-05 22:06:06,44.5086,50.263,34.65,70,95,24.11,overcast clouds,0.0,0.0
169,Faanui,PF,2022-02-05 22:01:53,-16.4833,-151.75,81.68,72,13,19.51,few clouds,0.0,0.0
170,Sakakah,SA,2022-02-05 22:06:06,29.9697,40.2064,48.63,64,36,8.46,scattered clouds,0.0,0.0
171,Kamiiso,JP,2022-02-05 22:06:07,41.8167,140.65,7.18,92,40,4.61,light snow,0.0,0.1
172,Tefe,BR,2022-02-05 22:06:07,-3.3542,-64.7114,82.51,89,20,4.61,few clouds,0.0,0.0
173,Tocopilla,CL,2022-02-05 22:06:08,-22.092,-70.1979,71.49,65,20,8.59,few clouds,0.0,0.0
174,Lebu,CL,2022-02-05 22:03:06,-37.6167,-73.65,62.2,75,1,20.09,clear sky,0.0,0.0
175,Lata,PT,2022-02-05 22:06:08,40.1629,-8.3327,49.06,78,0,4.0,clear sky,0.0,0.0
176,Kodiak,US,2022-02-05 22:02:23,57.79,-152.4072,36.91,87,100,3.44,mist,0.25,0.0
177,Moramanga,MG,2022-02-05 22:06:09,-18.9333,48.2,69.76,75,100,14.12,overcast clouds,0.0,0.0
178,Kununurra,AU,2022-02-05 22:04:13,-15.7667,128.7333,76.98,100,75,2.3,broken clouds,0.0,0.0
179,Tautira,PF,2022-02-05 22:06:09,-17.7333,-149.15,86.02,74,27,19.55,scattered clouds,0.0,0.0
180,Najran,SA,2022-02-05 22:06:10,17.4924,44.1277,64.15,59,0,3.2,clear sky,0.0,0.0
181,Huarmey,PE,2022-02-05 22:06:10,-10.0681,-78.1522,75.25,73,12,11.88,few clouds,0.0,0.0
182,Vikevag,NO,2022-02-05 22:06:10,59.0976,5.6969,39.45,91,100,15.99,light rain,0.38,0.0
183,Clyde River,CA,2022-02-05 22:02:28,70.4692,-68.5914,-19.77,87,100,4.81,overcast clouds,0.0,0.0
184,Nikolskoye,RU,2022-02-05 22:02:40,59.7035,30.7861,24.71,95,100,8.19,snow,0.0,0.75
185,Bucerias,MX,2022-02-05 22:04:32,20.75,-105.3333,76.98,69,40,13.8,scattered clouds,0.0,0.0
186,Broome,US,2022-02-05 22:02:27,42.2506,-75.833,15.66,68,0,1.99,clear sky,0.0,0.0
187,Ponta Do Sol,PT,2022-02-05 22:02:22,32.6667,-17.1,66.83,59,4,11.32,clear sky,0.0,0.0
188,Lypova Dolyna,UA,2022-02-05 22:06:12,50.5643,33.7979,29.21,97,100,11.34,light snow,0.0,0.22
189,Padang,ID,2022-02-05 22:05:02,-0.9492,100.3543,74.14,94,100,3.76,overcast clouds,0.0,0.0
190,Miram Shah,PK,2022-02-05 22:06:12,33.0086,70.0697,45.14,63,41,1.79,scattered clouds,0.0,0.0
